3.125000000000000000e-02 5.799788531700475480e-03 -1.433633768659752582e-05 1.000000000160373492e+00 9.999999999998023803e-01 6.570018972615108144e-01 5.011671633248226954e-12
5.625000000000000139e-02 5.799286774004580765e-03 -2.580373030000748626e-05 1.000000001684428153e+00 1.000000000000039080e+00 6.570018972616663566e-01 9.474908357898215172e-11
8.125000000000000278e-02 5.798498374647060791e-03 -3.726751484833525042e-05 1.000000007335270169e+00 1.000000000002190248e+00 6.570018972630796705e-01 5.959906922148317172e-10
1.062500000000000111e-01 5.797423439511331308e-03 -4.872633509227520388e-05 1.000000021460957234e+00 1.000000000011894263e+00 6.570018972694552373e-01 2.280226629389203812e-09
1.312500000000000056e-01 5.796062111777003714e-03 -6.017867551687930324e-05 1.000000050003017282e+00 1.000000000042865489e+00 6.570018972898032938e-01 6.562895522865819397e-09
1.562500000000000000e-01 5.794414572434253979e-03 -7.162300703955595176e-05 1.000000100507832723e+00 1.000000000122429178e+00 6.570018973420768127e-01 1.570434648642815567e-08
1.812499999999999944e-01 5.792481040742850432e-03 -8.305781102048636559e-05 1.000000182140998728e+00 1.000000000298522318e+00 6.570018974577703785e-01 3.301304699436513745e-08
2.062499999999999889e-01 5.790261773896873340e-03 -9.448156693536903126e-05 1.000000305704624948e+00 1.000000000648144871e+00 6.570018976874730798e-01 6.305154998630102536e-08
2.312499999999999833e-01 5.787757067075201441e-03 -1.058927567183993356e-04 1.000000483657534245e+00 1.000000001287248086e+00 6.570018981073650899e-01 1.118457236645720139e-07
2.562499999999999778e-01 5.784967253380347320e-03 -1.172898646914452174e-04 1.000000730138305149e+00 1.000000002382042785e+00 6.570018988266472793e-01 1.870977357872755045e-07
2.812500000000000000e-01 5.781892703775520781e-03 -1.286713777815881186e-04 1.000001060991099200e+00 1.000000004161710532e+00 6.570018999958923134e-01 2.984032717485984865e-07
3.062500000000000222e-01 5.778533827015760321e-03 -1.400357857969523521e-04 1.000001493794202556e+00 1.000000006932496133e+00 6.570019018163038016e-01 4.574734494663251983e-07
3.312500000000000444e-01 5.774891069572110971e-03 -1.513815817176977676e-04 1.000002047891210610e+00 1.000000011093158392e+00 6.570019045498667332e-01 6.783618796867703243e-07
3.562500000000000666e-01 5.770964915548524969e-03 -1.627072619930286707e-04 1.000002744424768775e+00 1.000000017151756015e+00 6.570019085303768769e-01 9.776972990756944864e-07
3.812500000000000888e-01 5.766755886591327408e-03 -1.740113268422895999e-04 1.000003606372784626e+00 1.000000025743739362e+00 6.570019141753262737e-01 1.374922186393734763e-06
4.062500000000001110e-01 5.762264541791124565e-03 -1.852922805597970613e-04 1.000004658587012596e+00 1.000000037651319840e+00 6.570019219986291681e-01 1.892537749023995721e-06
4.312500000000001332e-01 5.757491477577062096e-03 -1.965486318235428690e-04 1.000005927833910180e+00 1.000000053824086077e+00 6.570019326241672841e-01 2.556355643270475752e-06
4.562500000000001554e-01 5.752437327603316872e-03 -2.077788940079012257e-04 1.000007442837657523e+00 1.000000075400832245e+00 6.570019468001304652e-01 3.395756770124825814e-06
4.812500000000001776e-01 5.747102762627727922e-03 -2.189815855004787848e-04 1.000009234325225815e+00 1.000000103732564982e+00 6.570019654141326937e-01 4.443957459377216896e-06
5.062500000000001998e-01 5.741488490382455449e-03 -2.301552300232482325e-04 1.000011335073373475e+00 1.000000140406649418e+00 6.570019895090757345e-01 5.738283329357124081e-06
5.312500000000002220e-01 5.735595255436556905e-03 -2.412983569580291949e-04 1.000013779957445559e+00 1.000000187272058083e+00 6.570020202997380876e-01 7.320451079349119596e-06
5.562500000000002442e-01 5.729423839050372565e-03 -2.524095016763953469e-04 1.000016606001845609e+00 1.000000246465679643e+00 6.570020591900598284e-01 9.236858445014696397e-06
5.812500000000002665e-01 5.722975059021613055e-03 -2.634872058740017316e-04 1.000019852432044498e+00 1.000000320439645263e+00 6.570021077910955798e-01 1.153888251236648898e-05
6.062500000000002887e-01 5.716249769523025666e-03 -2.745300179093502070e-04 1.000023560727984817e+00 1.000000411989629523e+00 6.570021679396088610e-01 1.428318655541279593e-05
