3.125000000000000000e-02 1.599833153128989030e-03 -1.837978351908483227e-06 1.000000000012202461e+00 9.999999999999845679e-01 7.954572906762750195e-01 3.813269144892217355e-13
5.625000000000000139e-02 1.599768824260184522e-03 -3.308293759128270081e-06 1.000000000128170807e+00 9.999999999999971134e-01 7.954572906762850115e-01 7.209607910674264986e-12
8.125000000000000278e-02 1.599667740107560236e-03 -4.778399778963160848e-06 1.000000000558192603e+00 1.000000000000114575e+00 7.954572906763784923e-01 4.535314901410459175e-11
1.062500000000000111e-01 1.599529906512475686e-03 -6.248235190427773363e-06 1.000000001633277957e+00 1.000000000000645262e+00 7.954572906768005991e-01 1.735357829657502552e-10
1.312500000000000056e-01 1.599355331275080505e-03 -7.717717611022704150e-06 1.000000003805939564e+00 1.000000000002339684e+00 7.954572906781485209e-01 4.995295604243166003e-10
1.562500000000000000e-01 1.599144024259051625e-03 -9.186763795825945140e-06 1.000000007651240086e+00 1.000000000006693757e+00 7.954572906816119726e-01 1.195506246082223001e-09
1.812499999999999944e-01 1.598895997407546662e-03 -1.065529069233152105e-05 1.000000013868117099e+00 1.000000000016332935e+00 7.954572906892795059e-01 2.513596173911447381e-09
2.062499999999999889e-01 1.598611264740216076e-03 -1.212321527276768094e-05 1.000000023280982031e+00 1.000000000035476733e+00 7.954572907045075469e-01 4.801702360723858145e-09
2.312499999999999833e-01 1.598289842352414733e-03 -1.359045452617518520e-05 1.000000036841595552e+00 1.000000000070482953e+00 7.954572907323534947e-01 8.519618496446999876e-09
2.562499999999999778e-01 1.597931748414620342e-03 -1.505692546226878646e-05 1.000000055631212303e+00 1.000000000130472078e+00 7.954572907800723236e-01 1.425549695788230632e-08
2.812500000000000000e-01 1.597537003171815026e-03 -1.652254511553309804e-05 1.000000080862996965e+00 1.000000000228029817e+00 7.954572908576753587e-01 2.274271511740200147e-08
3.062500000000000222e-01 1.597105628942798589e-03 -1.798723054888065823e-05 1.000000113884706110e+00 1.000000000379988929e+00 7.954572909785523338e-01 3.487718527907246590e-08
3.312500000000000444e-01 1.596637650119422632e-03 -1.945089885706151404e-05 1.000000156181634736e+00 1.000000000608288531e+00 7.954572911601548446e-01 5.173515438862409204e-08
3.562500000000000666e-01 1.596133093165747266e-03 -2.091346716997982948e-05 1.000000209379822813e+00 1.000000000940910683e+00 7.954572914247416415e-01 7.459153844278921492e-08
3.812500000000000888e-01 1.595591986617117585e-03 -2.237485265599817471e-05 1.000000275249519399e+00 1.000000001412894246e+00 7.954572918001844295e-01 1.049388359278258428e-07
4.062500000000001110e-01 1.595014361079158177e-03 -2.383497252526464087e-05 1.000000355708899669e+00 1.000000002067423122e+00 7.954572923208341750e-01 1.445066633871256155e-07
4.312500000000001332e-01 1.594400249226685887e-03 -2.529374403309907801e-05 1.000000452828031738e+00 1.000000002956991541e+00 7.954572930284478094e-01 1.952819560162300649e-07
4.562500000000001554e-01 1.593749685802535411e-03 -2.675108448344556064e-05 1.000000568833087522e+00 1.000000004144641297e+00 7.954572939731724412e-01 2.595298747229414175e-07
4.812500000000001776e-01 1.593062707616300097e-03 -2.820691123240298034e-05 1.000000706110794058e+00 1.000000005705273809e+00 7.954572952145889664e-01 3.398154596857828879e-07
5.062500000000001998e-01 1.592339353542982557e-03 -2.966114169184239820e-05 1.000000867213120204e+00 1.000000007727033680e+00 7.954572968228126317e-01 4.390260710036843512e-07
5.312500000000002220e-01 1.591579664521553319e-03 -3.111369333311596156e-05 1.000001054862192706e+00 1.000000010312763532e+00 7.954572988796503319e-01 5.603946531609895651e-07
5.562500000000002442e-01 1.590783683553416905e-03 -3.256448369086249766e-05 1.000001271955437199e+00 1.000000013581528568e+00 7.954573014798133057e-01 7.075238620139759962e-07
5.812500000000002665e-01 1.589951455700780751e-03 -3.401343036691604213e-05 1.000001521570938134e+00 1.000000017670211072e+00 7.954573047321855661e-01 8.844110892709121023e-07
6.062500000000002887e-01 1.589083028084924826e-03 -3.546045103431916923e-05 1.000001806973010998e+00 1.000000022735170857e+00 7.954573087611447324e-01 1.095474418691053617e-06
6.312500000000003109e-01 1.588178449884370845e-03 -3.690546344144608054e-05 1.000002131617981016e+00 1.000000028953974329e+00 7.954573137079373746e-01 1.345579548096485110e-06
6.562500000000003331e-01 1.587237772332945234e-03 -3.834838541624016172e-05 1.000002499160162373e+00 1.000000036527186609e+00 7.954573197321042066e-01 1.640067708402055139e-06
6.812500000000003553e-01 1.586261048717736710e-03 -3.978913487056659346e-05 1.000002913458030385e+00 1.000000045680229155e+00 7.954573270129586815e-01 1.984784609347646044e-06
7.062500000000003775e-01 1.585248334376941539e-03 -4.122762980468649470e-05 1.000003378580579971e+00 1.000000056665298231e+00 7.954573357511119935e-01 2.386110442134660330e-06
7.312500000000003997e-01 1.584199686697597117e-03 -4.266378831185259135e-05 1.000003898813863978e+00 1.000000069763345767e+00 7.954573461700493731e-01 2.850990964774551217e-06
7.562500000000004219e-01 1.583115165113198244e-03 -4.409752858303138433e-05 1.000004478667702479e+00 1.000000085286118612e+00 7.954573585177522332e-01 3.386969696294804850e-06
7.812500000000004441e-01 1.581994831101193703e-03 -4.552876891175166105e-05 1.000005122882556607e+00 1.000000103578255528e+00 7.954573730683658361e-01 4.002221242957462498e-06
8.062500000000004663e-01 1.580838748180360539e-03 -4.695742769908487965e-05 1.000005836436558715e+00 1.000000125019441688e+00 7.954573901239136990e-01 4.705585779703552844e-06
