3.125000000000000000e-02 1.049984108813741338e-02 -1.088900522831145842e-05 1.000000160270500205e+00 8.602390167816039712e-01
5.625000000000000139e-02 1.049945989535915405e-02 -1.960495690361905696e-05 1.000000523203004699e+00 8.602390164595078437e-01
8.125000000000000278e-02 1.049886086465825347e-02 -2.831723631307959867e-05 1.000001094123976753e+00 8.602390169064846326e-01
1.062500000000000111e-01 1.049804404670696099e-02 -3.702792214273152821e-05 1.000001874988865280e+00 8.602390183970077819e-01
1.312500000000000056e-01 1.049700948442773389e-02 -4.573671507832289342e-05 1.000002868182324756e+00 8.602390215466625412e-01
1.562500000000000000e-01 1.049575723030408102e-02 -5.444319311343327159e-05 1.000004076669226194e+00 8.602390271811607425e-01
1.812499999999999944e-01 1.049428734770288356e-02 -6.314692120519111676e-05 1.000005504019571667e+00 8.602390363135443696e-01
2.062499999999999889e-01 1.049259991084752243e-02 -7.184745964223157567e-05 1.000007154414070287e+00 8.602390501377366050e-01
2.312499999999999833e-01 1.049069500497588556e-02 -8.054436897779324511e-05 1.000009032644806339e+00 8.602390700260298395e-01
2.562499999999999778e-01 1.048857272631041095e-02 -8.923720977361289505e-05 1.000011144114167028e+00 8.602390975277882657e-01
2.812500000000000000e-01 1.048623318205669890e-02 -9.792554275947307565e-05 1.000013494832945105e+00 8.602391343685757974e-01
3.062500000000000222e-01 1.048367649039906070e-02 -1.066089288830335670e-04 1.000016091417934794e+00 8.602391824494380890e-01
3.312500000000000444e-01 1.048090278049494499e-02 -1.152869293335309273e-04 1.000018941089149793e+00 8.602392438462298507e-01
3.562500000000000666e-01 1.047791219246876730e-02 -1.239591055596641559e-04 1.000022051666718648e+00 8.602393208089401666e-01
3.812500000000000888e-01 1.047470487740524529e-02 -1.326250192867687813e-04 1.000025431567485246e+00 8.602394157609949410e-01
4.062500000000001110e-01 1.047128099734229503e-02 -1.412842325344128790e-04 1.000029089801331095e+00 8.602395312985223752e-01
4.312500000000001332e-01 1.046764072526345721e-02 -1.499363076345485411e-04 1.000033035967226702e+00 8.602396701895791420e-01
4.562500000000001554e-01 1.046378424508986361e-02 -1.585808072501167579e-04 1.000037280249019389e+00 8.602398353733312630e-01
4.812500000000001776e-01 1.045971175167173008e-02 -1.672172943939541421e-04 1.000041833410961756e+00 8.602400299591889121e-01
5.062500000000001998e-01 1.045542345077937751e-02 -1.758453324479081453e-04 1.000046706792983464e+00 8.602402572258951441e-01
5.312500000000002220e-01 1.045091955909376209e-02 -1.844644851820699365e-04 1.000051912305711888e+00 8.602405206205665511e-01
5.562500000000002442e-01 1.044620030419653178e-02 -1.930743167740732013e-04 1.000057462425242738e+00 8.602408237576869565e-01
5.812500000000002665e-01 1.044126592455959894e-02 -2.016743918284139741e-04 1.000063370187665113e+00 8.602411704180534802e-01
6.062500000000002887e-01 1.043611666953422196e-02 -2.102642753957664854e-04 1.000069649183343179e+00 8.602415645476757522e-01
6.312500000000003109e-01 1.043075279933961680e-02 -2.188435329922742902e-04 1.000076313550957829e+00 8.602420102566283866e-01
6.562500000000003331e-01 1.042517458505107415e-02 -2.274117306187986240e-04 1.000083377971311860e+00 8.602425118178557151e-01
6.812500000000003553e-01 1.041938230858760646e-02 -2.359684347801181594e-04 1.000090857660901111e+00 8.602430736659317789e-01
7.062500000000003775e-01 1.041337626269910402e-02 -2.445132125040686173e-04 1.000098768365256463e+00 8.602437003957739137e-01
7.312500000000003997e-01 1.040715675095302620e-02 -2.530456313606174062e-04 1.000107126352057785e+00 8.602443967613107034e-01
7.562500000000004219e-01 1.040072408772060863e-02 -2.615652594808677350e-04 1.000115948404026067e+00 8.602451676741051934e-01
7.812500000000004441e-01 1.039407859816259862e-02 -2.700716655759889998e-04 1.000125251811594396e+00 8.602460182019341373e-01
8.062500000000004663e-01 1.038722061821451513e-02 -2.785644189560719541e-04 1.000135054365364207e+00 8.602469535673227252e-01
8.312500000000004885e-01 1.038015049457144401e-02 -2.870430895489037835e-04 1.000145374348348826e+00 8.602479791460364567e-01
8.562500000000005107e-01 1.037286858467235777e-02 -2.955072479186631124e-04 1.000156230528008949e+00 8.602491004655291595e-01
8.812500000000005329e-01 1.036537525668397922e-02 -3.039564652845343998e-04 1.000167642148083402e+00 8.602503232033508196e-01
9.062500000000005551e-01 1.035767088948416799e-02 -3.123903135392374969e-04 1.000179628920220276e+00 8.602516531855110005e-01
9.312500000000005773e-01 1.034975587264485609e-02 -3.208083652674761053e-04 1.000192211015411337e+00 8.602530963848031842e-01
9.562500000000005995e-01 1.034163060641451505e-02 -3.292101937643010729e-04 1.000205409055234584e+00 8.602546589190878112e-01
9.812500000000006217e-01 1.033329550170017201e-02 -3.375953730533911797e-04 1.000219244102908966e+00 8.602563470495353526e-01
1.006250000000000533e+00 1.032475098004896272e-02 -3.459634779052502256e-04 1.000233737654166122e+00 8.602581671788305240e-01
1.031250000000000444e+00 1.031599747362923862e-02 -3.543140838553206868e-04 1.000248911627942494e+00 8.602601258493368652e-01
1.056250000000000355e+00 1.030703542521121258e-02 -3.626467672220163837e-04 1.000264788356897361e+00 8.602622297412246821e-01
1.081250000000000266e+00 1.029786528814716565e-02 -3.709611051246726400e-04 1.000281390577760110e+00 8.602644856705607967e-01
1.106250000000000178e+00 1.028848752635119594e-02 -3.792566755014173505e-04 1.000298741421512982e+00 8.602669005873611052e-01
1.131250000000000089e+00 1.027890261427853030e-02 -3.875330571269625752e-04 1.000316864403411943e+00 8.602694815736087186e-01
